Période,PCA_1,PCA_2
1975-01-01,2.5341522183875185,0.7704104612999454
1975-02-01,2.5341522183875185,0.7704104612999454
1975-03-01,2.5341522183875185,0.7704104612999454
1975-04-01,2.5341522183875185,0.7704104612999454
1975-05-01,2.5341522183875185,0.7704104612999454
1975-06-01,2.5341522183875185,0.7704104612999454
1975-07-01,2.5341522183875185,0.7704104612999454
1975-08-01,2.5341522183875185,0.7704104612999454
1975-09-01,2.5341522183875185,0.7704104612999454
1975-10-01,2.5341522183875185,0.7704104612999454
1975-11-01,2.5341522183875185,0.7704104612999454
1975-12-01,2.5341522183875185,0.7704104612999454
1976-01-01,2.5341522183875185,0.7704104612999454
1976-02-01,2.5341522183875185,0.7704104612999454
1976-03-01,2.5341522183875185,0.7704104612999454
1976-04-01,2.5341522183875185,0.7704104612999454
1976-05-01,2.5341522183875185,0.7704104612999454
1976-06-01,2.5341522183875185,0.7704104612999454
1976-07-01,2.5341522183875185,0.7704104612999454
1976-08-01,2.5341522183875185,0.7704104612999454
1976-09-01,2.5341522183875185,0.7704104612999454
1976-10-01,2.5341522183875185,0.7704104612999454
1976-11-01,2.5341522183875185,0.7704104612999454
1976-12-01,2.5341522183875185,0.7704104612999454
1977-01-01,2.5341522183875185,0.7704104612999454
1977-02-01,2.4886970143919434,1.0005829381796238
1977-03-01,2.54114532669453,0.7349993110107635
1977-04-01,2.5973102380688817,0.3769412789488336
1977-05-01,2.6497585503714682,0.11135765177997316
1977-06-01,2.6060516234526463,0.33267734108735686
1977-07-01,2.5553564211345443,0.3536890405177053
1977-08-01,2.5501115899042857,0.3802474032345923
1977-09-01,2.541370204520521,0.424511341096069
1977-10-01,2.583326437908725,0.3299040094440876
1977-11-01,2.6305299189810523,0.09087874499211417
1977-12-01,2.6585023522090987,-0.050765856164612204
1978-01-01,2.637520610834198,0.17332716478603963
1978-02-01,2.6480102732947155,0.12021043935226795
1978-03-01,2.5640929736105775,0.5451442428224443
1978-04-01,2.3752790493212665,1.5012453006303417
1978-05-01,2.3927618200887952,1.4127174249073882
1978-06-01,2.434720469930864,1.2002505231723006
1978-07-01,2.4120001172946743,0.9617580513628166
1978-08-01,2.3892725152968866,1.0768442898026558
1978-09-01,2.3647966362223465,1.2007833158147911
1978-10-01,2.3455704212857964,1.0624448389438235
1978-11-01,2.308856602673986,1.2483533779620266
1978-12-01,2.279135892369187,1.3988507666910466
1979-01-01,2.300117633744087,1.1747577457403948
1979-02-01,2.335083175279145,0.9977019942944878
1979-03-01,2.328090066972133,1.0331131445836697
1979-04-01,2.2773924482001657,1.1719844140971265
1979-05-01,2.2756441711234126,1.1808372016694213
1979-06-01,2.270399339893154,1.2073955643863084
1979-07-01,2.182987902509376,1.5321753729179672
1979-08-01,2.186484456662882,1.5144697977733763
1979-09-01,2.186484456662882,1.5144697977733763
1979-10-01,2.107814404662868,1.7949856684435592
1979-11-01,2.0868350797418334,1.901219119311104
1979-12-01,2.0973247422023507,1.8481023938773309
1980-01-01,2.1777479041868486,1.3230145954686383
1980-02-01,2.1917341208008723,1.2521922948902746
1980-03-01,2.1410340855750385,1.5089231344868401
1980-04-01,2.1969789520311305,1.2256339321733887
1980-05-01,2.2319444935661883,1.0485781807274819
1980-06-01,2.2861410829455275,0.7741417659863267
1980-07-01,2.3997815093883306,0.08085100370402042
1980-08-01,2.434747050923388,-0.09620474774188646
1980-09-01,2.3892918469278133,0.13396772913779328
1980-10-01,2.412024281833332,-0.21683764946826195
1980-11-01,2.35607941537724,0.06645155284518937
1980-12-01,2.419017390140344,-0.25224879975744374
1981-01-01,2.3613339124229618,-0.4315450902041285
1981-02-01,2.384061514420749,-0.5466313286439677
1981-03-01,2.415530501802301,-0.7059815049452849
1981-04-01,2.3316204514797603,-0.6346264117244318
1981-05-01,2.273927307946915,-0.3424844218386844
1981-06-01,2.301899741174961,-0.48412902299541066
1981-07-01,2.223234522082679,-0.4393322924914433
1981-08-01,2.1900172576243744,-0.2711293286178311
1981-09-01,2.1742827639335984,-0.1914542404671739
1981-10-01,2.1690403491572052,-0.2827554478333955
1981-11-01,2.118340313931372,-0.02602460823682994
1981-12-01,2.0956127119335846,0.08906163020300929
1982-01-01,1.9872219496287722,0.5200748896022126
1982-02-01,2.0047047203963007,0.43154701387925914
1982-03-01,2.1061047908479678,-0.0819146653138708
1982-04-01,2.0903727136110577,-0.12009914724632069
1982-05-01,2.0519106179224944,0.07466217934417714
1982-06-01,2.069393388690023,-0.013865696378776287
1982-07-01,2.151564827751274,-0.5478062823597653
1982-08-01,2.1900269234398375,-0.7425676089502632
1982-09-01,2.291426993891504,-1.2560292881433934
1982-10-01,2.2564638688103127,-1.196833106780595
1982-11-01,2.153315521281893,-0.6745186400151687
1982-12-01,2.118349979746835,-0.49746288856926163
1983-01-01,2.153315521281893,-0.6745186400151687
1983-02-01,2.169050014972669,-0.7541937281658273
1983-03-01,2.177791400356433,-0.798457666027304
1983-04-01,2.26695353127083,-1.2499498322143665
1983-05-01,2.314157012343158,-1.4889750966663413
1983-06-01,2.3054156269593933,-1.4447111588048644
1983-07-01,2.287937689099596,-1.591902423248127
1983-08-01,2.268706641255314,-1.4945217599528775
1983-09-01,2.303672182790372,-1.671577511398784
1983-10-01,2.174306928472256,-1.3700499412982527
1983-11-01,2.1725586513955033,-1.3611971537259566
1983-12-01,2.191789699239785,-1.458577817021206
1984-01-01,2.039699259377748,-1.1598235785639424
1984-02-01,2.0257130427637247,-1.0890012779855784
1984-03-01,2.0099785490729487,-1.009326189834921
