Période,Kalman_Filter_1,Kalman_Filter_2
1984-04-01,-12.713474409459712,-81.80910519247672
1984-05-01,-12.71358189828002,-81.80904563699059
1984-06-01,-12.713356050748029,-81.80917079050556
1984-07-01,-12.708251153917743,-81.81199967580396
1984-08-01,-12.707813701077654,-81.81224210097763
1984-09-01,-12.708173507477888,-81.81204271461863
1984-10-01,-12.705653843439297,-81.81343898838114
1984-11-01,-12.705005006013621,-81.81379854752089
1984-12-01,-12.705182398598998,-81.81370024645035
1985-01-01,-12.705077574089424,-81.81375833430357
1985-02-01,-12.704035177517554,-81.81433598003402
1985-03-01,-12.702715538289336,-81.8150672620208
1985-04-01,-12.702028410571394,-81.81544803741303
1985-05-01,-12.702522644565628,-81.8151741583065
1985-06-01,-12.700713729994487,-81.81617656988082
1985-07-01,-12.701518480887671,-81.81573061961126
1985-08-01,-12.70143258834249,-81.81577821549858
1985-09-01,-12.699303222594736,-81.81695820668645
1985-10-01,-12.69987962803449,-81.81663879500249
1985-11-01,-12.698841207879637,-81.8172142358523
1985-12-01,-12.698246311656455,-81.81754390047759
1986-01-01,-12.6998434337023,-81.81665885467308
1986-02-01,-12.684724887570418,-81.82503674195655
1986-03-01,-12.620149694542377,-81.86082089276282
1986-04-01,-12.5702736053953,-81.88845968120783
1986-05-01,-12.560867787670215,-81.89367198444648
1986-06-01,-12.572700872526145,-81.88711473299045
1986-07-01,-12.565184889181202,-81.89127966615393
1986-08-01,-12.553609016191036,-81.89769441013041
1986-09-01,-12.540151411719245,-81.90515191862433
1986-10-01,-12.566870585067193,-81.89034561189207
1986-11-01,-12.609725472956994,-81.86659767304039
1986-12-01,-12.620222739371577,-81.8607805623321
1987-01-01,-12.622071963462234,-81.85975580582019
1987-02-01,-12.638466107114652,-81.85067104537126
1987-03-01,-12.611101986144838,-81.8658347379275
1987-04-01,-12.610422070374117,-81.86621157389881
1987-05-01,-12.625261833013218,-81.85798817816905
1987-06-01,-12.6500559712046,-81.84424856186912
1987-07-01,-12.65374453890364,-81.84220450367918
1987-08-01,-12.68229034630254,-81.82638594157413
1987-09-01,-12.707752557717933,-81.81227609641356
1987-10-01,-12.737597691690889,-81.79573746582072
1987-11-01,-12.691151497226652,-81.82147539857968
1987-12-01,-12.691795037913144,-81.82111887596193
1988-01-01,-12.681385091759179,-81.82688751021114
1988-02-01,-12.6375199941452,-81.85119522190527
1988-03-01,-12.645954205457011,-81.84652152007368
1988-04-01,-12.644857430447965,-81.84712926565558
1988-05-01,-12.647243289220455,-81.84580715424897
1988-06-01,-12.628682201286617,-81.85609271205212
1988-07-01,-12.629194122030892,-81.8558090750673
1988-08-01,-12.644907555995632,-81.8471015321715
1988-09-01,-12.629760785271186,-81.85549503243695
1988-10-01,-12.617642001866981,-81.86221062703001
1988-11-01,-12.615952129720975,-81.8631470897288
1988-12-01,-12.612130380477584,-81.86526490525588
1989-01-01,-12.60771985549037,-81.86770897395918
1989-02-01,-12.633084988155165,-81.8536529800505
1989-03-01,-12.640519571721253,-81.84953308410884
1989-04-01,-12.627734534763219,-81.85661784685053
1989-05-01,-12.625869993087191,-81.85765109822289
1989-06-01,-12.616713259210666,-81.86272527375996
1989-07-01,-12.611723240579968,-81.86549048025557
1989-08-01,-12.599308851649823,-81.872369877342
1989-09-01,-12.611215286739831,-81.86577199635097
1989-10-01,-12.62819754588059,-81.8563613138899
1989-11-01,-12.643026257543697,-81.8481440028605
1989-12-01,-12.648042533435737,-81.84536421833747
1990-01-01,-12.67429638798334,-81.83081572999257
1990-02-01,-12.691667173293446,-81.82118976140875
1990-03-01,-12.69668414673844,-81.81840956940947
1990-04-01,-12.376379533780826,-79.91062727825188
1990-05-01,-12.3239071793585,-79.57477125397372
1990-06-01,-12.226519249881088,-78.7946254848297
1990-07-01,-12.161916883547844,-78.4133651047239
1990-08-01,-11.793973094745063,-75.75000068445345
1990-09-01,-11.535016848504636,-73.86034081998926
1990-10-01,-11.365480782580722,-72.75524417022442
1990-11-01,-11.364936088788568,-72.75554033184571
1990-12-01,-11.340403535043253,-72.76913499275469
1991-01-01,-11.095564008664228,-71.28872160981153
1991-02-01,-11.005108066461874,-70.92178425359222
1991-03-01,-11.005892859457711,-70.92134744760105
1991-04-01,-10.816967183426327,-69.77487318111102
1991-05-01,-10.707960413935105,-69.05329379616398
1991-06-01,-10.488276665636445,-67.5068047354441
1991-07-01,-10.333987188980808,-66.39326095644111
1991-08-01,-10.146765347370682,-65.24583686531946
1991-09-01,-10.131248109431077,-65.25442983507261
1991-10-01,-9.899355272833539,-63.76684204002749
1991-11-01,-9.664874272684756,-62.28068088758367
1991-12-01,-9.731646339886787,-62.660727356269305
1992-01-01,-9.705332060822954,-62.67531128670114
1992-02-01,-9.532523721813867,-61.519905679100965
1992-03-01,-9.477782219962725,-61.13317903112574
1992-04-01,-9.377870420258052,-60.40656357685288
1992-05-01,-9.254613564116925,-59.64075105165969
1992-06-01,-9.215050331836487,-59.24561533687716
1992-07-01,-9.168663238495682,-58.85426298085569
1992-08-01,-9.126811107882892,-58.51252956334936
1992-09-01,-9.059794419377832,-58.13260925067511
1992-10-01,-8.914065695832779,-57.3792512191947
1992-11-01,-8.795600705962617,-56.662915032920786
1992-12-01,-8.752517360939093,-56.26973021538743
1993-01-01,-8.61723864162294,-55.510581277928196
1993-02-01,-8.488899415138507,-54.74758493616455
1993-03-01,-8.296564816891964,-53.65512773061598
1993-04-01,-8.226507704279639,-53.27688845180908
1993-05-01,-8.17086874166438,-52.89066305141137
1993-06-01,-8.116427976027706,-52.55590556392206
1993-07-01,-7.967952554318549,-51.80406986679414
1993-08-01,-7.828951228689868,-51.046981898946186
1993-09-01,-7.75386535894656,-50.67153101648516
1993-10-01,-7.626766128698977,-49.95998147464268
1993-11-01,-7.575411481810599,-49.57138022192152
1993-12-01,-7.507232129428707,-49.1921039815321
1994-01-01,-7.484624499011448,-49.20463004156696
1994-02-01,-7.446154015365766,-48.80889277194489
1994-03-01,-7.471196798808423,-48.79501340726511
1994-04-01,-7.303525021945045,-47.688893334880326
1994-05-01,-7.205085389931872,-46.90932648643717
1994-06-01,-7.176965894104551,-46.50784926732188
1994-07-01,-7.055916886112676,-45.79294691135918
1994-08-01,-7.068027944715957,-45.78623197613957
1994-09-01,-6.980301947532106,-45.00073381622982
1994-10-01,-6.865734181031442,-44.23010598768733
1994-11-01,-6.858079007135568,-44.234344169817376
1994-12-01,-6.801255992098163,-43.900908809035975
1995-01-01,-6.634526500638983,-42.742132900038236
1995-02-01,-6.57017325286183,-42.36073250000025
1995-03-01,-6.507146398862421,-41.97860109263538
1995-04-01,-6.4473101791769185,-41.646833502411496
1995-05-01,-6.372963371367806,-41.27097522114151
1995-06-01,-6.248100141970836,-40.506054640391795
1995-07-01,-6.24727138915005,-40.50650998888901
1995-08-01,-5.9587396530160035,-38.63325279679426
1995-09-01,-5.84626678263242,-37.86145849339031
1995-10-01,-5.817989703740252,-37.51220050200138
1995-11-01,-5.673759114816183,-36.75801241970284
1995-12-01,-5.58396727986389,-36.39071083299058
1996-01-01,-5.461158758464357,-35.676783599362224
1996-02-01,-5.408987142115581,-35.288635082391465
1996-03-01,-5.119972653729249,-33.41564348330614
1996-04-01,-5.057995155386912,-33.0329229306387
1996-05-01,-4.985763826736686,-32.65589216848041
1996-06-01,-4.9386455504279905,-32.26494504288924
1996-07-01,-4.948451772355351,-32.259508916503776
1996-08-01,-5.046024402732605,-33.03955061534944
1996-09-01,-4.917910552114906,-32.27643724303523
1996-10-01,-4.736250707231626,-31.178064650103295
1996-11-01,-4.719263857141673,-31.18747227618131
1996-12-01,-4.594465387236117,-30.422517766656807
1997-01-01,-4.426016064366504,-29.3168246158184
1997-02-01,-4.406190171346762,-29.3278054510988
1997-03-01,-4.468648988220218,-29.658117811836473
1997-04-01,-4.452892356305381,-29.66685109348357
1997-05-01,-4.40867728932797,-29.3264290451298
1997-06-01,-4.341278324813551,-28.946720646419767
1997-07-01,-4.269545980532589,-28.569413334184194
1997-08-01,-4.13321513417267,-27.810847596828616
1997-09-01,-4.087264593755249,-27.419251381507404
1997-10-01,-4.077230383040387,-27.424809880924617
1997-11-01,-3.9212974984037086,-26.312184667092687
1997-12-01,-3.9515954675242293,-26.71244514411797
1998-01-01,-3.9998705492708315,-27.102751274603197
1998-02-01,-3.8707898818704334,-26.340171696053478
1998-03-01,-3.8738443779250864,-26.3384751256116
1998-04-01,-3.8083757692756537,-25.957698756672343
1998-05-01,-3.801786338913007,-25.961348362258256
1998-06-01,-3.7373700256180857,-25.57998883904411
1998-07-01,-3.730717166008785,-25.583673555390664
1998-08-01,-3.7340491887437772,-25.58182705469737
1998-09-01,-3.7601281809811193,-25.984431110662797
1998-10-01,-3.7587157687018244,-25.985215820765436
1998-11-01,-3.7555867090657453,-25.986949797575427
1998-12-01,-3.6853005657630122,-25.608842999368857
1999-01-01,-3.733747105919742,-25.999050183955298
1999-02-01,-3.6341058238824204,-25.272288791183207
1999-03-01,-3.6500046136958972,-25.26347482304009
1999-04-01,-3.5157037584786006,-24.503785985426248
1999-05-01,-3.5244018177219165,-24.498962112914796
1999-06-01,-3.534563327185902,-24.493331175063418
1999-07-01,-3.497762936654663,-24.09666836548648
1999-08-01,-3.465087310608962,-23.69771779530448
1999-09-01,-3.396275991438081,-23.31879183540901
1999-10-01,-3.3548501316481696,-22.976822268611258
1999-11-01,-3.2188110331211743,-22.218094939679407
1999-12-01,-3.0584020613787426,-21.055814315448444
2000-01-01,-2.9170082529283934,-19.93512644049678
2000-02-01,-2.921714847515211,-19.98464455936169
2000-03-01,-2.831311534561058,-19.513422020369728
2000-04-01,-2.9152104838728006,-20.092510675969994
2000-05-01,-2.8771963496327317,-19.852919323235575
2000-06-01,-2.6781552494079954,-18.555653357805507
2000-07-01,-2.5993741563085946,-18.025851584070157
2000-08-01,-2.471914396006569,-17.158105147660773
2000-09-01,-2.2471077932420926,-15.666586099342831
2000-10-01,-2.2569072159488175,-15.765412083772473
2000-11-01,-1.997456686462423,-14.084567954270796
2000-12-01,-1.9417023210238378,-13.8547957413205
2001-01-01,-2.199721673684005,-15.536432223269491
2001-02-01,-2.1100501086754737,-15.012680572407037
2001-03-01,-2.027452406744251,-14.537129643468587
2001-04-01,-1.8505292891756713,-13.17547388237855
2001-05-01,-1.574115922359403,-11.29549445879577
2001-06-01,-1.4634000582595197,-10.574858441684334
2001-07-01,-1.417825190817167,-10.183054270179246
2001-08-01,-1.3723972070546622,-10.103962222512536
2001-09-01,-1.348025861645648,-9.856807287627628
2001-10-01,-1.253211509229708,-9.28376366200266
2001-11-01,-1.2991205631601797,-9.571112044508421
2001-12-01,-1.1793448791022247,-8.69911172709829
2002-01-01,-0.9040692947870439,-6.870636222206991
2002-02-01,-0.9219236179889039,-6.96499689568173
2002-03-01,-0.8530305510252452,-6.429722810204523
2002-04-01,-0.6985998358759714,-5.472658377372423
2002-05-01,-0.7006172536134759,-5.419403562376932
2002-06-01,-0.6268694299648562,-4.991082847277232
2002-07-01,-0.45042526893067325,-3.8376897474005984
2002-08-01,-0.29596325980864824,-3.0370353642517065
2002-09-01,-0.23717664529317223,-2.652552009956122
2002-10-01,-0.14108472393090887,-1.9238197815758424
2002-11-01,-0.015540029898956198,-1.1592750765842315
2002-12-01,0.10818215460769562,-0.28945621811127664
2003-01-01,0.38940648654510157,1.327194913995014
2003-02-01,0.7299422969338205,3.4323022012009634
2003-03-01,0.7768559369183136,3.8755035128774606
2003-04-01,0.5784381928175901,2.630027577600435
2003-05-01,0.44482789951949586,1.7135539260192583
2003-06-01,0.6413187963403704,2.9079632491001233
2003-07-01,0.7434146159195738,3.6333724932143516
2003-08-01,0.8468718844522839,4.410156905948886
2003-09-01,1.0529278231432209,5.8078022210244855
2003-10-01,1.209222369162097,6.711706200739691
2003-11-01,1.3614640145127612,7.878513494444734
2003-12-01,1.4656275409510136,8.498512892586234
2004-01-01,1.5856098085631931,9.161875557704413
2004-02-01,1.765109946748298,10.261444382998175
2004-03-01,1.8508926169413094,10.787365290878947
2004-04-01,1.8784415621344384,11.084893532982838
2004-05-01,2.033328527805348,12.198099817168057
2004-06-01,2.1390705657088813,12.869356163074492
2004-07-01,2.230170284633677,13.39232842550633
2004-08-01,2.2916883368814016,13.931692654844648
2004-09-01,2.378094979817472,14.300868929054324
2004-10-01,2.5764313921742397,15.494262103578182
2004-11-01,2.6850756230458774,16.268174636735306
2004-12-01,2.78007117541861,16.788988558151647
2005-01-01,2.5937331725859334,15.484687116743524
2005-02-01,2.8723079681756687,17.363455277816666
2005-03-01,3.0770571357477197,18.91822627620906
2005-04-01,3.110169113236532,18.899885201933753
2005-05-01,3.0741142507290737,18.65920510980763
2005-06-01,3.2174202109456047,19.518166473221584
2005-07-01,3.329065793384218,20.29041404320817
2005-08-01,3.4906550515531496,21.399908709517877
2005-09-01,3.798205607720918,23.210500286453417
2005-10-01,3.785414829024608,23.37399345428968
2005-11-01,3.7235657781204776,22.834816117003694
2005-12-01,3.796508940856078,23.315711714008234
2006-01-01,3.9409401565175624,24.278317112488374
2006-02-01,4.047382020578327,25.10558080172275
2006-03-01,4.063881558087273,25.20070568243777
2006-04-01,4.180244395988152,26.12673117224314
2006-05-01,4.380280177778786,27.371317369794905
2006-06-01,4.405455871575075,27.56590051148723
2006-07-01,4.525407280980639,28.437805980934105
2006-08-01,4.644182220580252,29.206102914269074
2006-09-01,4.582972892639132,28.666574275844283
2006-10-01,4.479286705679029,28.09844554500952
2006-11-01,4.583348950750447,28.770624210360907
2006-12-01,4.714710910096317,29.5840769521249
2007-01-01,4.712448513747845,29.741730687187303
2007-02-01,4.704045111259883,29.642124254047516
2007-03-01,4.819623201322802,30.307923817524543
2007-04-01,4.969986693758394,31.527902634231843
2007-05-01,5.038139808680346,31.907197531472008
2007-06-01,5.112729654585123,32.54358112382217
2007-07-01,5.216014287308405,33.21619682961836
2007-08-01,5.386338422111105,34.21658665380221
2007-09-01,5.535438184354269,35.333003577963474
2007-10-01,5.784944275829945,36.91510060932416
2007-11-01,6.168040782359112,39.465810471585016
2007-12-01,6.347657907948977,40.72171995798578
2008-01-01,6.5680161990927735,42.05931014798285
2008-02-01,6.554130297750085,41.91061593507543
2008-03-01,6.858406222615353,43.93154365000957
2008-04-01,6.951252794296557,44.55781862134891
2008-05-01,7.165803604497015,46.31567958187263
2008-06-01,7.394400015613719,48.01363085110548
2008-07-01,7.554484807525328,49.01969997583541
2008-08-01,7.405605056200931,48.00743542605199
2008-09-01,7.486286518301925,48.53617237591046
2008-10-01,7.5190472283312895,48.778680647824146
2008-11-01,7.182273788284812,46.77576201652037
2008-12-01,6.959242024181492,45.17898976924387
2009-01-01,6.955482930449073,45.28532869426797
2009-02-01,7.008368049409244,45.7252107029676
2009-03-01,6.892447950936714,45.059602420044
2009-04-01,6.907818498553292,45.103213390586234
2009-05-01,6.9219870433389055,45.199626032971025
2009-06-01,7.021558342920105,45.82216473158645
2009-07-01,7.036841309759707,45.86583086670279
2009-08-01,7.264129916030038,47.19957443244896
2009-09-01,7.252441146076618,47.10179462783356
2009-10-01,7.380132848321535,47.91727735301793
2009-11-01,7.496605835565884,48.63471762363187
2009-12-01,7.571770668079724,49.114388463875756
2010-01-01,7.744249141909518,50.217847371918396
2010-02-01,7.915813194861187,51.37394818707344
2010-03-01,7.989892470742076,51.74995884703902
2010-04-01,8.106899562054785,52.519232905890334
2010-05-01,8.154142218631886,52.64945330074664
2010-06-01,8.151349659135903,52.65100148647289
2010-07-01,8.28677705205153,53.4621979920732
2010-08-01,8.281868434611651,53.36065836980236
2010-09-01,8.426230593053633,54.219035113113556
2010-10-01,8.538083283615123,54.99116791718592
2010-11-01,8.646872871719916,55.76499762703406
2010-12-01,8.817617296498309,56.97368282716997
2011-01-01,8.994937849294466,58.12659416232789
2011-02-01,9.096276138852556,58.85242301264659
2011-03-01,9.342481221018481,60.540611287598956
2011-04-01,9.532802171448662,61.94698079580399
2011-05-01,9.574381859039391,61.97607856382007
2011-06-01,9.630661630538961,62.466211084810816
2011-07-01,9.633597034495937,62.4124549411865
2011-08-01,9.812733776098431,63.46008959908222
2011-09-01,9.987714892095214,64.5100326996826
2011-10-01,10.14223031570118,65.67558065832621
2011-11-01,10.378087490377233,67.31737337180749
2011-12-01,10.515131644951405,68.23194630357682
2012-01-01,10.634922528100615,69.05181241665878
2012-02-01,10.709846652128153,69.42735321879445
2012-03-01,10.9518167398309,71.01362261226181
2012-04-01,11.039164473879291,71.59081063582423
2012-05-01,10.981811150457373,71.20554018764854
2012-06-01,11.038614511076052,71.53898451276886
2012-07-01,11.03992863166437,71.38186213471795
2012-08-01,11.307512760778094,72.95393480484574
2012-09-01,11.347138128295525,73.40117220407214
2012-10-01,11.46890546386092,74.21994068134518
2012-11-01,11.427886321993231,73.92988376966773
2012-12-01,11.514994788879033,74.4029309142836
2013-01-01,11.554406213039275,74.74601728332827
2013-02-01,11.516023247874912,74.45449706618224
2013-03-01,11.704625253717161,75.6011492206724
2013-04-01,11.628120232553824,74.91370273565728
2013-05-01,11.637501211522682,75.01276471834447
2013-06-01,11.745453410588157,75.94345096393393
2013-07-01,11.800974626867294,76.3818763710828
2013-08-01,11.877026729873768,76.96531800049057
2013-09-01,11.972282034954194,77.59025087632979
2013-10-01,11.868363938899533,76.91799265187888
2013-11-01,11.954092940629485,77.33967029184068
2013-12-01,12.045100512523131,78.0190882525676
2014-01-01,12.008539213759214,77.88295622010443
2014-02-01,12.17728162936353,78.83208642189042
2014-03-01,12.111906663435029,78.39913106789552
2014-04-01,12.106951749477636,78.29761070368605
2014-05-01,12.107140392627425,78.29750570845003
2014-06-01,12.110872316245963,78.19117373380145
2014-07-01,12.171939032748597,78.47012496392914
2014-08-01,12.21271814242456,78.76032055189862
2014-09-01,12.209175422229416,78.65802128262705
2014-10-01,12.199191065447915,78.61142165394763
2014-11-01,12.175605102086926,78.46809568489999
2014-12-01,12.140960923573175,77.96597330373044
2015-01-01,11.822181643636245,75.79668350305046
2015-02-01,12.191609921023865,78.0942885817379
2015-03-01,12.251371618172147,78.47823918452038
2015-04-01,12.33186194828639,79.00708916802256
2015-05-01,12.388804939857799,79.54898852321593
2015-06-01,12.34841143415356,79.41497933042828
2015-07-01,12.309373480511066,79.17595166302783
2015-08-01,12.294861276154801,78.9754645015176
2015-09-01,12.257630679991077,78.68330297048375
2015-10-01,12.317167433031472,79.01523305336312
2015-11-01,12.254429787002048,78.73720897755636
2015-12-01,12.30506621062935,79.07407118291201
2016-01-01,11.97706751313658,76.80563056557418
2016-02-01,12.091196659859756,77.42009008126159
2016-03-01,12.163273344056616,77.90147170736198
2016-04-01,12.206668133555954,78.13808680678501
2016-05-01,12.385333047020717,79.39451221344102
2016-06-01,12.518025270078988,80.25936279280957
2016-07-01,12.514195986254808,80.15722529975608
2016-08-01,12.506452440694105,80.00511994403713
2016-09-01,12.571783300283698,80.49023583203665
2016-10-01,12.597015945674988,80.7369154710125
2016-11-01,12.671542581947568,81.26906941962622
2016-12-01,12.785928516733609,82.09192871721567
2017-01-01,12.91279039760646,83.01213989600386
2017-02-01,12.945147952290267,83.3591374299253
2017-03-01,12.995861280920327,83.59169625714742
2017-04-01,13.039392387624902,83.88036657974291
2017-05-01,12.980550634080757,83.33952348898048
2017-06-01,13.012407601081907,83.5303951472076
2017-07-01,12.986238944615412,83.44063349478358
2017-08-01,13.129801673707323,84.29945331512549
2017-09-01,13.27724635970375,85.20825874906348
2017-10-01,13.37634960901801,85.93532492568723
2017-11-01,13.530487719577216,86.89255250550835
2017-12-01,13.69536008400472,87.89596484568038
2018-01-01,13.871208920031357,89.31035058868883
2018-02-01,13.840859662916124,89.11864787278765
2018-03-01,14.180342424295286,91.22432944673842
2018-04-01,14.264228207729413,91.85557058532036
2018-05-01,14.47390417010889,93.3033411121152
2018-06-01,14.5099002938728,93.43979715229112
2018-07-01,14.656125132820907,94.40140688875204
2018-08-01,14.763646079501994,95.12380867179246
2018-09-01,14.882141495256327,95.9965236589955
2018-10-01,15.01147306508945,96.81110256133825
2018-11-01,14.894554435868667,96.09391757318086
2018-12-01,14.869611044750732,95.84707642696884
2019-01-01,14.782905687787594,95.21740728551507
2019-02-01,14.834243565315159,95.50174706888937
2019-03-01,15.038205151435921,96.79628656042932
2019-04-01,15.256843114927374,98.23909420348586
2019-05-01,15.242314517780194,98.03862468454916
2019-06-01,15.409835108462506,99.19695960696829
2019-07-01,15.46121776663937,99.42915170685052
2019-08-01,15.57674320720714,100.14711417433311
2019-09-01,15.64728805275306,100.57721316300025
2019-10-01,15.643736926861601,100.6313151674436
2019-11-01,15.702432189251294,101.12010917804818
2019-12-01,16.012824143906087,103.29404682721436
2020-01-01,15.962573061110048,102.90484873374973
2020-02-01,15.89026070338437,102.2672030056762
2020-03-01,15.410413973963086,100.23930003813472
2020-04-01,15.231721917691777,99.8169920851717
2020-05-01,15.313030095500482,99.98046079960412
2020-06-01,15.433892331011673,100.17414567738243
2020-07-01,15.941198663355703,103.02094139288116
2020-08-01,15.642626626971138,101.04899868446637
2020-09-01,15.661157538688979,101.03871972701918
2020-10-01,15.667901745204643,101.03498241149013
2020-11-01,15.865711505334325,102.43719341537172
2020-12-01,16.057886715670207,103.6861380024112
2021-01-01,16.42309060467572,105.93396942974702
2021-02-01,16.20788557752008,104.8542013411819
2021-03-01,16.35137140998792,105.71305863956016
2021-04-01,16.348254265276825,105.76692235984811
2021-05-01,16.53099318921177,107.02108914174606
2021-06-01,16.605121044810147,107.50133733868323
2021-07-01,16.78126706181541,108.55063195219886
2021-08-01,17.018639021028676,110.08732086742349
2021-09-01,17.312756102156897,112.16601861761572
2021-10-01,17.642494594457133,114.3292434368536
2021-11-01,17.99750552576225,116.73912393499532
2021-12-01,18.196917886891214,118.03619518459985
2022-01-01,18.625768273480894,120.8743408058768
2022-02-01,18.927557113596983,123.10518975462303
2022-03-01,19.726630151382043,128.44904397170382
2022-04-01,19.92116037097907,130.06162734470274
2022-05-01,20.432793919864707,133.47948395469763
2022-06-01,20.987893260210686,137.34245093831964
2022-07-01,21.312297771620386,139.4565088308494
2022-08-01,21.422961731301083,140.07291084034102
